CIF,Formula,Structure Type,tcsp_center_label,tcsp_center,tcsp_prism_formula,tcsp_caps_formula,tctp_1_center,tctp_1_count,tctp_1_prism_formula,tctp_1_cap_formula,tctp_2_center,tctp_2_count,tctp_2_prism_formula,tctp_2_cap_formula,tctp_3_center,tctp_3_count,tctp_3_prism_formula,tctp_3_cap_formula
1640509.cif,Ge2La2Mg,"Mo2FeB2,tP10,127",Mg1,Mg,La8,Ge4,Ge,4,La6,Mg2Ge,,,,,,,,
1703539.cif,MgNi2Tb2,"Mo2FeB2,tP10,127",Mg1,Mg,Tb8,Ni4,Ni,4,Tb6,Mg2Ni,,,,,,,,
1415472.cif,Cu2Lu2Mg,"Mo2FeB2,tP10,127",Mg1,Mg,Lu8,Cu4,Cu,4,Lu6,Mg2Cu,,,,,,,,
1232091.cif,InIr2U2,"Mo2FeB2,tP10,127",In1,In,U8,Ir4,Ir,4,U6,In2Ir,,,,,,,,
1415414.cif,Au2InY2,"Mo2FeB2,tP10,127",In1,In,Y8,Au4,Au,4,Y6,In2Au,,,,,,,,
1521061.cif,Er2MgSi2,"Mo2FeB2,tP10,127",Mg1,Mg,Er8,Si4,Si,4,Er6,Mg2Si,,,,,,,,
1521059.cif,MgSi2Tb2,"Mo2FeB2,tP10,127",Mg1,Mg,Tb8,Si4,Si,4,Tb6,Mg2Si,,,,,,,,
1148332.cif,PbPr2Rh2,"Mo2FeB2,tP10,127",Pb1,Pb,Pr8,Rh4,Rh,4,Pr6,Pb2Rh,,,,,,,,
1233539.cif,Cu2Gd2In,"Mo2FeB2,tP10,127",In1,In,Gd8,Cu4,Cu,4,Gd6,In2Cu,,,,,,,,
1833648.cif,Gd2InPd2,"Mo2FeB2,tP10,127",In1,In,Gd8,Pd4,Pd,4,Gd6,In2Pd,,,,,,,,
1818099.cif,Cu2InLu2,"Mo2FeB2,tP10,127",In1,In,Lu8,Cu4,Cu,4,Lu6,In2Cu,,,,,,,,
1907506.cif,Gd2MgPd2,"Mo2FeB2,tP10,127",Mg1,Mg,Gd8,Pd4,Pd,4,Gd6,Mg2Pd,,,,,,,,
1234225.cif,InNi2U2,"Mo2FeB2,tP10,127",In1,In,U8,Ni4,Ni,4,U6,In2Ni,,,,,,,,
1833654.cif,Pd2SnTb2,"Mo2FeB2,tP10,127",Sn1,Sn,Tb8,Pd4,Pd,4,Tb6,Sn2Pd,,,,,,,,
1415415.cif,Au2Gd2In,"Mo2FeB2,tP10,127",In1,In,Gd8,Au4,Au,4,Gd6,In2Au,,,,,,,,
1231080.cif,InPt2Th2,"Mo2FeB2,tP10,127",In1,In,Th8,Pt4,Pt,4,Th6,In2Pt,,,,,,,,
1521058.cif,Gd2MgSi2,"Mo2FeB2,tP10,127",Mg1,Mg,Gd8,Si4,Si,4,Gd6,Mg2Si,,,,,,,,
1929290.cif,InLa2Ni2,"Mo2FeB2,tP10,127",In1,In,La8,Ni4,Ni,4,La6,In2Ni,,,,,,,,
1703538.cif,Gd2MgNi2,"Mo2FeB2,tP10,127",Mg1,Mg,Gd8,Ni4,Ni,4,Gd6,Mg2Ni,,,,,,,,
1148334.cif,Gd2PbRh2,"Mo2FeB2,tP10,127",Pb1,Pb,Gd8,Rh4,Rh,4,Gd6,Pb2Rh,,,,,,,,
1833646.cif,InLa2Pd2,"Mo2FeB2,tP10,127",In1,In,La8,Pd4,Pd,4,La6,In2Pd,,,,,,,,
1709304.cif,Cu2Gd2In,"Mo2FeB2,tP10,127",In1,In,Gd8,Cu4,Cu,4,Gd6,In2Cu,,,,,,,,
