CIF,Formula,Structure Type,tcsp_center_label,tcsp_center,tcsp_prism_formula,tcsp_caps_formula,tctp_1_center,tctp_1_count,tctp_1_prism_formula,tctp_1_cap_formula,tctp_2_center,tctp_2_count,tctp_2_prism_formula,tctp_2_cap_formula,tctp_3_center,tctp_3_count,tctp_3_prism_formula,tctp_3_cap_formula
260255.cif,Ga2Th3,"U3Si2,tP10,127",Th2,Th,Th8,Ga4,Ga,4,Th6,Th2Ga,,,,,,,,
532143.cif,Si2U3,"U3Si2,tP10,127",UI,U,U8,Si4,Si,4,U6,U2Si,,,,,,,,
528429.cif,Be2Nb3,"U3Si2,tP10,127",Nb1,Nb,Nb8,Be4,Be,4,Nb6,Nb2Be,,,,,,,,
533820.cif,Al2Th3,"U3Si2,tP10,127",Th1,Th,Th8,Al4,Al,4,Th6,Th2Al,,,,,,,,
451092.cif,Si2U3,"U3Si2,tP10,127",UI,U,U8,Si4,Si,4,U6,U2Si,,,,,,,,
454784.cif,Ge2Th3,"U3Si2,tP10,127",ThI,Th,Th8,Ge4,Ge,4,Th6,Th2Ge,,,,,,,,
455022.cif,Al2Th3,"U3Si2,tP10,127",ThI,Th,Th8,Al4,Al,4,Th6,Th2Al,,,,,,,,
451199.cif,Al2Th3,"U3Si2,tP10,127",Th1,Th,Th8,Al4,Al,4,Th6,Th2Al,,,,,,,,
1703613.cif,AlSi2Yb2,"U3Si2,tP10,127",Al,Al,Yb8,Si4,Si,4,Yb6,Al2Si,,,,,,,,
1502335.cif,Si2U3,"U3Si2,tP10,127",U1,U,U8,Si4,Si,4,U6,U2Si,,,,,,,,
450099.cif,Ag2Eu3,"U3Si2,tP10,127",Eu1,Eu,Eu8,Ag4,Ag,4,Eu6,Eu2Ag,,,,,,,,
531728.cif,La3Si2,"U3Si2,tP10,127",La(1),La,La8,Si4,Si,4,La6,La2Si,,,,,,,,
1606192.cif,B2Nb3,"U3Si2,tP10,127",Nb1,Nb,Nb8,B4,B,4,Nb6,Nb2B,,,,,,,,
251248.cif,Ag2Yb3,"U3Si2,tP10,127",Yb1,Yb,Yb8,Ag4,Ag,4,Yb6,Yb2Ag,,,,,,,,
1632946.cif,Au2Y3,"U3Si2,tP10,127",Y1,Y,Y8,Au4,Au,4,Y6,Y2Au,,,,,,,,
1250893.cif,Si2U3,"U3Si2,tP10,127",U1,U,U8,Si4,Si,4,U6,U2Si,,,,,,,,
1301652.cif,Hg2Sr3,"U3Si2,tP10,127",Sr1,Sr,Sr8,Hg4,Hg,4,Sr6,Sr2Hg,,,,,,,,
532679.cif,Ga2Nb3,"U3Si2,tP10,127",Nb1,Nb,Nb8,Ga4,Ga,4,Nb6,Nb2Ga,,,,,,,,
1351343.cif,Au2La3,"U3Si2,tP10,127",La2,La,La8,Au4,Au,4,La6,La2Au,,,,,,,,
528522.cif,Hf3Si2,"U3Si2,tP10,127",Hf1,Hf,Hf8,Si4,Si,4,Hf6,Hf2Si,,,,,,,,
1236242.cif,Si2Zr3,"U3Si2,tP10,127",Zr2,Zr,Zr8,Si4,Si,4,Zr6,Zr2Si,,,,,,,,
1340409.cif,Si2U3,"U3Si2,tP10,127",U2,U,U8,Si4,Si,4,U6,U2Si,,,,,,,,
1147835.cif,Er3Pd2,"U3Si2,tP10,127",Er1,Er,Er8,Pd4,Pd,4,Er6,Er2Pd,,,,,,,,
530873.cif,Si2Th3,"U3Si2,tP10,127",Th1,Th,Th8,Si4,Si,4,Th6,Th2Si,,,,,,,,
1606193.cif,B2Ta3,"U3Si2,tP10,127",Ta1,Ta,Ta8,B4,B,4,Ta6,Ta2B,,,,,,,,
261543.cif,Ge2Hf3,"U3Si2,tP10,127",Hf2,Hf,Hf8,Ge4,Ge,4,Hf6,Hf2Ge,,,,,,,,
453441.cif,B2V3,"U3Si2,tP10,127",V2,V,V8,B4,B,4,V6,V2B,,,,,,,,
251852.cif,Er3Pd2,"U3Si2,tP10,127",Er2,Er,Er8,Pd4,Pd,4,Er6,Er2Pd,,,,,,,,
1224377.cif,Ce3Si2,"U3Si2,tP10,127",Ce2,Ce,Ce8,Si4,Si,4,Ce6,Ce2Si,,,,,,,,
550032.cif,La3Si2,"U3Si2,tP10,127",La2,La,La8,Si4,Si,4,La6,La2Si,,,,,,,,
454278.cif,Ce3Si2,"U3Si2,tP10,127",Ce2,Ce,Ce8,Si4,Si,4,Ce6,Ce2Si,,,,,,,,
261421.cif,B2Ta3,"U3Si2,tP10,127",Ta2,Ta,Ta8,B4,B,4,Ta6,Ta2B,,,,,,,,
528903.cif,Ge2Hf3,"U3Si2,tP10,127",Hf2,Hf,Hf8,Ge4,Ge,4,Hf6,Hf2Ge,,,,,,,,
262147.cif,Ga2Ta3,"U3Si2,tP10,127",Ta2,Ta,Ta8,Ga4,Ga,4,Ta6,Ta2Ga,,,,,,,,
531729.cif,Ce3Si2,"U3Si2,tP10,127",Ce2,Ce,Ce8,Si4,Si,4,Ce6,Ce2Si,,,,,,,,
532888.cif,B2Mo3,"U3Si2,tP10,127",Mo2,Mo,Mo8,B4,B,4,Mo6,Mo2B,,,,,,,,
531730.cif,Pr3Si2,"U3Si2,tP10,127",Pr2,Pr,Pr8,Si4,Si,4,Pr6,Pr2Si,,,,,,,,
261435.cif,B2V3,"U3Si2,tP10,127",V2,V,V8,B4,B,4,V6,V2B,,,,,,,,
1828668.cif,Pu3Si2,"U3Si2,tP10,127",Pu2,Pu,Pu8,Si4,Si,4,Pu6,Pu2Si,,,,,,,,
1922116.cif,Si2U3,"U3Si2,tP10,127",U2,U,U8,Si4,Si,4,U6,U2Si,,,,,,,,
251853.cif,Gd3Pd2,"U3Si2,tP10,127",Gd2,Gd,Gd8,Pd4,Pd,4,Gd6,Gd2Pd,,,,,,,,
313400.cif,B2V3,"U3Si2,tP10,127",V2,V,V8,B4,B,4,V6,V2B,,,,,,,,
313401.cif,Al2Th3,"U3Si2,tP10,127",Th2,Th,Th8,Al4,Al,4,Th6,Th2Al,,,,,,,,
457443.cif,B2V3,"U3Si2,tP10,127",V2,V,V8,B4,B,4,V6,V2B,,,,,,,,
532640.cif,Ce3Si2,"U3Si2,tP10,127",Ce2,Ce,Ce8,Si4,Si,4,Ce6,Ce2Si,,,,,,,,
313395.cif,Si2U3,"U3Si2,tP10,127",U2,U,U8,Si4,Si,4,U6,U2Si,,,,,,,,
451339.cif,Be2Ta3,"U3Si2,tP10,127",Ta2,Ta,Ta8,Be4,Be,4,Ta6,Ta2Be,,,,,,,,
454432.cif,Si2U3,"U3Si2,tP10,127",U2,U,U8,Si4,Si,4,U6,U2Si,,,,,,,,
450912.cif,Hg2Sr3,"U3Si2,tP10,127",Sr2,Sr,Sr8,Hg4,Hg,4,Sr6,Sr2Hg,,,,,,,,
531321.cif,Ga2Ta3,"U3Si2,tP10,127",Ta2,Ta,Ta8,Ga4,Ga,4,Ta6,Ta2Ga,,,,,,,,
457556.cif,B2Nb3,"U3Si2,tP10,127",Nb2,Nb,Nb8,B4,B,4,Nb6,Nb2B,,,,,,,,
1810085.cif,Si2U3,"U3Si2,tP10,127",U2,U,U8,Si4,Si,4,U6,U2Si,,,,,,,,
532746.cif,Ge2Th3,"U3Si2,tP10,127",Th2,Th,Th8,Ge4,Ge,4,Th6,Th2Ge,,,,,,,,
531148.cif,Hf3Si2,"U3Si2,tP10,127",Hf2,Hf,Hf8,Si4,Si,4,Hf6,Hf2Si,,,,,,,,
1810095.cif,Np3Si2,"U3Si2,tP10,127",Np2,Np,Np8,Si4,Si,4,Np6,Np2Si,,,,,,,,
526245.cif,Si2Th3,"U3Si2,tP10,127",Th2,Th,Th8,Si4,Si,4,Th6,Th2Si,,,,,,,,
1606168.cif,La3Si2,"U3Si2,tP10,127",La2,La,La8,Si4,Si,4,La6,La2Si,,,,,,,,
1908163.cif,Si2U3,"U3Si2,tP10,127",U2,U,U8,Si4,Si,4,U6,U2Si,,,,,,,,
1922103.cif,Si2U3,"U3Si2,tP10,127",U2,U,U8,Si4,Si,4,U6,U2Si,,,,,,,,
532610.cif,Ce3Si2,"U3Si2,tP10,127",Ce2,Ce,Ce8,Si4,Si,4,Ce6,Ce2Si,,,,,,,,
1823942.cif,B2V3,"U3Si2,tP10,127",V2,V,V8,B4,B,4,V6,V2B,,,,,,,,
1818043.cif,La3Si2,"U3Si2,tP10,127",La2,La,La8,Si4,Si,4,La6,La2Si,,,,,,,,
528833.cif,Ga2Zr3,"U3Si2,tP10,127",Zr2,Zr,Zr8,Ga4,Ga,4,Zr6,Zr2Ga,,,,,,,,
1615201.cif,Ce3Si2,"U3Si2,tP10,127",Ce2,Ce,Ce8,Si4,Si,4,Ce6,Ce2Si,,,,,,,,
1229642.cif,Hf3Si2,"U3Si2,tP10,127",Hf2,Hf,Hf8,Si4,Si,4,Hf6,Hf2Si,,,,,,,,
457522.cif,B2Nb3,"U3Si2,tP10,127",Nb2,Nb,Nb8,B4,B,4,Nb6,Nb2B,,,,,,,,
526308.cif,La3Si2,"U3Si2,tP10,127",La2,La,La8,Si4,Si,4,La6,La2Si,,,,,,,,
261429.cif,B2Nb3,"U3Si2,tP10,127",Nb2,Nb,Nb8,B4,B,4,Nb6,Nb2B,,,,,,,,
250118.cif,Ge2Th3,"U3Si2,tP10,127",Th2,Th,Th8,Ge4,Ge,4,Th6,Th2Ge,,,,,,,,
525943.cif,Ce3Si2,"U3Si2,tP10,127",Ce2,Ce,Ce8,Si4,Si,4,Ce6,Ce2Si,,,,,,,,
555371.cif,Si2U3,"U3Si2,tP10,127",U2,U,U8,Si4,Si,4,U6,U2Si,,,,,,,,
1056648.cif,B2V3,"U3Si2,tP10,127",V2,V,V8,B4,B,4,V6,V2B,,,,,,,,
1229876.cif,Pr3Si2,"U3Si2,tP10,127",Pr2,Pr,Pr8,Si4,Si,4,Pr6,Pr2Si,,,,,,,,
533598.cif,Gd3Pd2,"U3Si2,tP10,127",Gd2,Gd,Gd8,Pd4,Pd,4,Gd6,Gd2Pd,,,,,,,,
313399.cif,B2Nb3,"U3Si2,tP10,127",Nb2,Nb,Nb8,B4,B,4,Nb6,Nb2B,,,,,,,,
532744.cif,Si2Th3,"U3Si2,tP10,127",Th2,Th,Th8,Si4,Si,4,Th6,Th2Si,,,,,,,,
251851.cif,Dy3Pd2,"U3Si2,tP10,127",Dy2,Dy,Dy8,Pd4,Pd,4,Dy6,Dy2Pd,,,,,,,,
313397.cif,B2Mo3,"U3Si2,tP10,127",Mo2,Mo,Mo8,B4,B,4,Mo6,Mo2B,,,,,,,,
532612.cif,Si2U3,"U3Si2,tP10,127",U2,U,U8,Si4,Si,4,U6,U2Si,,,,,,,,
532611.cif,Si2Th3,"U3Si2,tP10,127",Th2,Th,Th8,Si4,Si,4,Th6,Th2Si,,,,,,,,
532869.cif,Si2Zr3,"U3Si2,tP10,127",Zr2,Zr,Zr8,Si4,Si,4,Zr6,Zr2Si,,,,,,,,
1606165.cif,Ce3Si2,"U3Si2,tP10,127",Ce2,Ce,Ce8,Si4,Si,4,Ce6,Ce2Si,,,,,,,,
1606176.cif,Si2U3,"U3Si2,tP10,127",U2,U,U8,Si4,Si,4,U6,U2Si,,,,,,,,
527561.cif,Ga2Ta3,"U3Si2,tP10,127",Ta2,Ta,Ta8,Ga4,Ga,4,Ta6,Ta2Ga,,,,,,,,
313402.cif,Ge2Th3,"U3Si2,tP10,127",Th2,Th,Th8,Ge4,Ge,4,Th6,Th2Ge,,,,,,,,
1817969.cif,La3Si2,"U3Si2,tP10,127",La2,La,La8,Si4,Si,4,La6,La2Si,,,,,,,,
457442.cif,B2Nb3,"U3Si2,tP10,127",Nb2,Nb,Nb8,B4,B,4,Nb6,Nb2B,,,,,,,,
526246.cif,Al2Th3,"U3Si2,tP10,127",Th2,Th,Th8,Al4,Al,4,Th6,Th2Al,,,,,,,,
526309.cif,Ce3Si2,"U3Si2,tP10,127",Ce2,Ce,Ce8,Si4,Si,4,Ce6,Ce2Si,,,,,,,,
532870.cif,Hf3Si2,"U3Si2,tP10,127",Hf2,Hf,Hf8,Si4,Si,4,Hf6,Hf2Si,,,,,,,,
251703.cif,Ca3Hg2,"U3Si2,tP10,127",Ca2,Ca,Ca8,Hg4,Hg,4,Ca6,Ca2Hg,,,,,,,,
532738.cif,Ga2Ta3,"U3Si2,tP10,127",Ta2,Ta,Ta8,Ga4,Ga,4,Ta6,Ta2Ga,,,,,,,,
454184.cif,Pu3Si2,"U3Si2,tP10,127",Pu2,Pu,Pu8,Si4,Si,4,Pu6,Pu2Si,,,,,,,,
312473.cif,Ag2Eu3,"U3Si2,tP10,127",Eu2,Eu,Eu8,Ag4,Ag,4,Eu6,Eu2Ag,,,,,,,,
458386.cif,Si2U3,"U3Si2,tP10,127",U2,U,U8,Si4,Si,4,U6,U2Si,,,,,,,,
526244.cif,Si2U3,"U3Si2,tP10,127",U2,U,U8,Si4,Si,4,U6,U2Si,,,,,,,,
456175.cif,Np3Si2,"U3Si2,tP10,127",Np2,Np,Np8,Si4,Si,4,Np6,Np2Si,,,,,,,,
251854.cif,Ho3Pd2,"U3Si2,tP10,127",Ho2,Ho,Ho8,Pd4,Pd,4,Ho6,Ho2Pd,,,,,,,,
313398.cif,B2Ta3,"U3Si2,tP10,127",Ta2,Ta,Ta8,B4,B,4,Ta6,Ta2B,,,,,,,,
1825024.cif,Ga2Zr3,"U3Si2,tP10,127",Zr2,Zr,Zr8,Ga4,Ga,4,Zr6,Zr2Ga,,,,,,,,
1921812.cif,B2V3,"U3Si2,tP10,127",V2,V,V8,B4,B,4,V6,V2B,,,,,,,,
1921915.cif,Ce3Si2,"U3Si2,tP10,127",Ce2,Ce,Ce8,Si4,Si,4,Ce6,Ce2Si,,,,,,,,
1938058.cif,Pr3Si2,"U3Si2,tP10,127",Pr2,Pr,Pr8,Si4,Si,4,Pr6,Pr2Si,,,,,,,,
457499.cif,B2Ta3,"U3Si2,tP10,127",Ta2,Ta,Ta8,B4,B,4,Ta6,Ta2B,,,,,,,,
457406.cif,B2Ta3,"U3Si2,tP10,127",Ta2,Ta,Ta8,B4,B,4,Ta6,Ta2B,,,,,,,,
1720929.cif,Si2Zr3,"U3Si2,tP10,127",Zr2,Zr,Zr8,Si4,Si,4,Zr6,Zr2Si,,,,,,,,
1933823.cif,Ce3Si2,"U3Si2,tP10,127",Ce2,Ce,Ce8,Si4,Si,4,Ce6,Ce2Si,,,,,,,,
1817975.cif,Ce3Si2,"U3Si2,tP10,127",Ce2,Ce,Ce8,Si4,Si,4,Ce6,Ce2Si,,,,,,,,
454779.cif,B2Ta3,"U3Si2,tP10,127",Ta2,Ta,Ta8,B4,B,4,Ta6,Ta2B,,,,,,,,
525881.cif,Ag2Yb3,"U3Si2,tP10,127",Yb2,Yb,Yb8,Ag4,Ag,4,Yb6,Yb2Ag,,,,,,,,
1636744.cif,Al17Fe4Si6Yb5,"Yb5Fe4Al17Si6,tP32,123",Al3,Al,Al2Fe2Si2Yb2,Al3Si,Al,1,Yb4Al2,Al3,,,,,,,,
1636744.cif,Al17Fe4Si6Yb5,"Yb5Fe4Al17Si6,tP32,123",Si2,Si,Al8,Fe2Yb2,Fe,2,Al4Si2,Al2Si,,,,,,,,
1636744.cif,Al17Fe4Si6Yb5,"Yb5Fe4Al17Si6,tP32,123",Al2,Al,Yb8,Al4,Al,4,Yb4Al2,Al3,,,,,,,,
1220943.cif,Er17Ru6Te3,"Er17Ru6Te3,mS104,12",Er8,Er,Er6Ru2,Er2RuTe,Ru,1,Er6,Er2Ru,Te,1,Er6,Er3,,,,
1220943.cif,Er17Ru6Te3,"Er17Ru6Te3,mS104,12",Er14,Er,Er6Ru2,Er2RuTe,Ru,1,Er6,Er2Ru,Te,1,Er6,Er3,,,,
1220943.cif,Er17Ru6Te3,"Er17Ru6Te3,mS104,12",Er6,Er,Er6Ru2,Er2RuTe,Ru,1,Er6,Er3,Te,1,Er6,Er3,,,,
1220943.cif,Er17Ru6Te3,"Er17Ru6Te3,mS104,12",Er16,Er,Er6Ru2,Er2RuTe,Ru,1,Er6,Er3,Te,1,Er6,Er3,,,,
1220943.cif,Er17Ru6Te3,"Er17Ru6Te3,mS104,12",Er5,Er,Er6Ru2,Er2RuTe,Ru,1,Er6,Er3,Te,1,Er6,Er3,,,,
1220943.cif,Er17Ru6Te3,"Er17Ru6Te3,mS104,12",Er2,Er,Er6Ru2,Er2RuTe,Ru,1,Er6,Er3,Te,1,Er6,Er3,,,,
1220943.cif,Er17Ru6Te3,"Er17Ru6Te3,mS104,12",Er4,Er,Er6Ru2,Er2RuTe,Ru,1,Er6,Er3,Te,1,Er6,Er3,,,,
1220943.cif,Er17Ru6Te3,"Er17Ru6Te3,mS104,12",Er10,Er,Er8,Ru2Te2,Ru,2,Er6,Er2Ru,Te,2,Er6,Er3,,,,
1220943.cif,Er17Ru6Te3,"Er17Ru6Te3,mS104,12",Er9,Er,Er8,Ru2Te2,Ru,2,Er6,Er2Ru,Te,2,Er6,Er3,,,,
1219678.cif,Mn2Sn5Yb4,"Yb4Mn2Sn5,mS22,12",Mn1,Mn,Yb4Mn2Sn2,Sn2Yb2,Sn,1,Yb4Mn2,MnSnYb,Sn,1,Yb6,Sn2Mn,,,,
1219678.cif,Mn2Sn5Yb4,"Yb4Mn2Sn5,mS22,12",Sn2,Sn,Yb8,Sn4,Sn,2,Yb4Mn2,MnSnYb,Sn,2,Yb6,Sn2Mn,,,,
1905613.cif,Nb5Ni4P4,"Cu4Nb5Si4,tI26,87",Ni,Ni,Ni4Nb2P2,Nb2NiP,P,1,Nb4Ni2,Nb2Ni,,,,,,,,
1905613.cif,Nb5Ni4P4,"Cu4Nb5Si4,tI26,87",Nb1,Nb,Nb8,P4,P,4,Nb4Ni2,Nb2Ni,,,,,,,,
1904571.cif,Nb5P4Pd4,"Cu4Nb5Si4,tI26,87",Pd,Pd,Pd4Nb2P2,Nb2PPd,P,1,Nb4Pd2,Nb2Pd,,,,,,,,
1904571.cif,Nb5P4Pd4,"Cu4Nb5Si4,tI26,87",Nb1,Nb,Nb8,P4,P,4,Nb4Pd2,Nb2Pd,,,,,,,,
1008474.cif,Ge4Li4Yb5,"Cu4Nb5Si4,tI26,87",Li,Li,Li4Ge2Yb2,Yb2GeLi,Li,1,Li4Ge2,GeLiYb,Ge,1,Yb4Li2,Yb2Li,,,,
1008474.cif,Ge4Li4Yb5,"Cu4Nb5Si4,tI26,87",Yb2,Yb,Yb8,Ge4,Ge,4,Yb4Li2,Yb2Li,,,,,,,,
1946085.cif,Eu5Ge4Na4,"Cu4Nb5Si4,tI26,87",Na,Na,Na4Eu2Ge2,Eu2GeNa,Ge,1,Eu4Na2,Eu2Na,Na,1,Na4Ge2,EuGeNa,,,,
1946085.cif,Eu5Ge4Na4,"Cu4Nb5Si4,tI26,87",Eu2,Eu,Eu8,Ge4,Ge,4,Eu4Na2,Eu2Na,,,,,,,,
1921746.cif,Si4Zn4Zr5,"Cu4Nb5Si4,tI26,87",Zn,Zn,Zn4Si2Zr2,Zr2SiZn,Si,1,Zr4Zn2,Zr2Zn,,,,,,,,
1921746.cif,Si4Zn4Zr5,"Cu4Nb5Si4,tI26,87",Zr2,Zr,Zr8,Si4,Si,4,Zr4Zn2,Zr2Zn,,,,,,,,
1412721.cif,As4Nb5Pd4,"Cu4Nb5Si4,tI26,87",Pd,Pd,Pd4As2Nb2,Nb2AsPd,As,1,Nb4Pd2,Nb2Pd,,,,,,,,
1412721.cif,As4Nb5Pd4,"Cu4Nb5Si4,tI26,87",Nb1,Nb,Nb8,As4,As,4,Nb4Pd2,Nb2Pd,,,,,,,,
303263.cif,Cu4Nb5Si4,"Cu4Nb5Si4,tI26,87",Cu,Cu,Cu4Nb2Si2,Nb2CuSi,Si,1,Nb4Cu2,Nb2Cu,,,,,,,,
303263.cif,Cu4Nb5Si4,"Cu4Nb5Si4,tI26,87",NbII,Nb,Nb8,Si4,Si,4,Nb4Cu2,Nb2Cu,,,,,,,,
1007887.cif,Nb5Ni4P4,"Cu4Nb5Si4,tI26,87",Ni1,Ni,Ni4Nb2P2,Nb2NiP,P,1,Nb4Ni2,Nb2Ni,,,,,,,,
1007887.cif,Nb5Ni4P4,"Cu4Nb5Si4,tI26,87",Nb2,Nb,Nb8,P4,P,4,Nb4Ni2,Nb2Ni,,,,,,,,
1007886.cif,Ni4P4Ta5,"Cu4Nb5Si4,tI26,87",Ni1,Ni,Ni4P2Ta2,Ta2NiP,P,1,Ta4Ni2,Ta2Ni,,,,,,,,
1007886.cif,Ni4P4Ta5,"Cu4Nb5Si4,tI26,87",Ta2,Ta,Ta8,P4,P,4,Ta4Ni2,Ta2Ni,,,,,,,,
1948391.cif,Nb5Ni4P4,"Cu4Nb5Si4,tI26,87",Ni1,Ni,Ni4Nb2P2,Nb2NiP,P,1,Nb4Ni2,Nb2Ni,,,,,,,,
1948391.cif,Nb5Ni4P4,"Cu4Nb5Si4,tI26,87",Nb2,Nb,Nb8,P4,P,4,Nb4Ni2,Nb2Ni,,,,,,,,
1008974.cif,Cu4Nb5Si4,"Cu4Nb5Si4,tI26,87",Cu1,Cu,Cu4Nb2Si2,Nb2CuSi,Si,1,Nb4Cu2,Nb2Cu,,,,,,,,
1008974.cif,Cu4Nb5Si4,"Cu4Nb5Si4,tI26,87",Nb2,Nb,Nb8,Si4,Si,4,Nb4Cu2,Nb2Cu,,,,,,,,
1003548.cif,Ni2P4Zr9,"Zr9Ni2P4,tP30,127",Zr3,Zr,Zr8,P2NiZr,Ni,1,Zr6,P2Zr,P,2,Zr6,Zr2Ni,,,,
1003548.cif,Ni2P4Zr9,"Zr9Ni2P4,tP30,127",Zr1,Zr,Zr8,P4,P,4,Zr6,Zr2Ni,,,,,,,,
1003549.cif,Co2P4Zr9,"Zr9Ni2P4,tP30,127",Zr3,Zr,Zr8,P2CoZr,P,2,Zr6,Zr2Co,Co,1,Zr6,P2Zr,,,,
1003549.cif,Co2P4Zr9,"Zr9Ni2P4,tP30,127",Zr4,Zr,Zr8,P4,P,4,Zr6,Zr2Co,,,,,,,,
1224596.cif,Ni4Sn13Yb7,"Ca7Ni4Sn13,tP24,83",Sn2,Sn,Sn4Ni2Yb2,Sn2Yb2,Sn,2,Ni2Sn2Yb2,Sn2Yb,,,,,,,,
1224596.cif,Ni4Sn13Yb7,"Ca7Ni4Sn13,tP24,83",Sn1,Sn,Sn4Yb4,Ni2SnYb,Sn,1,Yb6,Sn2Ni,,,,,,,,
1224596.cif,Ni4Sn13Yb7,"Ca7Ni4Sn13,tP24,83",Sn4,Sn,Yb8,Sn4,Sn,4,Yb6,Sn2Ni,,,,,,,,
539355.cif,Ca7Ni4Sn13,"Ca7Ni4Sn13,tP24,83",Sn2,Sn,Sn4Ca2Ni2,Ca2Sn2,Sn,2,Ca2Ni2Sn2,Sn2Ca,,,,,,,,
539355.cif,Ca7Ni4Sn13,"Ca7Ni4Sn13,tP24,83",Sn1,Sn,Ca4Sn4,Ni2CaSn,Sn,1,Ca6,Sn2Ni,,,,,,,,
539355.cif,Ca7Ni4Sn13,"Ca7Ni4Sn13,tP24,83",Sn4,Sn,Ca8,Sn4,Sn,4,Ca6,Sn2Ni,,,,,,,,
1250216.cif,Pb3Sr2,"Sr2Pb3,tP10,127",Pb2,Pb,Sr8,Pb4,Pb,4,Sr6,Pb3,,,,,,,,
450139.cif,Pb3Sr2,"Sr2Pb3,tP10,127",Pb2,Pb,Sr8,Pb4,Pb,4,Sr6,Pb3,,,,,,,,
1147834.cif,Pd2Tb3,"Tb3Pd2,oP20,55",Tb2,Tb,Tb8,Pd4,Pd,2,Tb6,Tb2Pd,Pd,2,Tb6,Tb2Pd,,,,
1631452.cif,Al6Ce11Ru2,"La11Ru2Al6,oP38,55",Ce4,Ce,Ce6Al2,Al2CeRu,Ru,1,Ce4Al2,Ce2Al,Al,1,Ce6,Ce3,Al,1,Ce6,Ce2Ru
1631452.cif,Al6Ce11Ru2,"La11Ru2Al6,oP38,55",Ce6,Ce,Ce8,Al4,Al,2,Ce6,Ce3,Al,2,Ce6,Ce2Ru,,,,
1631451.cif,Al6La11Ru2,"La11Ru2Al6,oP38,55",La4,La,La6Al2,Al2LaRu,Ru,1,La4Al2,La2Al,Al,1,La6,La3,Al,1,La6,La2Ru
1631451.cif,Al6La11Ru2,"La11Ru2Al6,oP38,55",La6,La,La8,Al4,Al,2,La6,La3,Al,2,La6,La2Ru,,,,
1945434.cif,In9Ni4Tb11,"Nd11Pd4In9,oS48,65",In3,In,Tb8,Ni4,Ni,4,Tb6,In3,,,,,,,,
1945435.cif,Ho11In9Ni4,"Nd11Pd4In9,oS48,65",In3,In,Ho8,Ni4,Ni,4,Ho6,In3,,,,,,,,
1432058.cif,Co4Dy11In9,"Nd11Pd4In9,oS48,65",In3,In,Dy8,Co4,Co,4,Dy6,In3,,,,,,,,
1723880.cif,In9Ni4Tb11,"Nd11Pd4In9,oS48,65",In3,In,Tb8,Ni4,Ni,4,Tb6,In3,,,,,,,,
1930319.cif,Co4Ho11In9,"Nd11Pd4In9,oS48,65",In3,In,Ho8,Co4,Co,4,Ho6,In3,,,,,,,,
1630076.cif,Gd11In9Ni4,"Nd11Pd4In9,oS48,65",In3,In,Gd8,Ni4,Ni,4,Gd6,In3,,,,,,,,
1942247.cif,Dy11In9Pd4,"Nd11Pd4In9,oS48,65",In3,In,Dy8,Pd4,Pd,4,Dy6,In3,,,,,,,,
1840443.cif,Co4Dy11In9,"Nd11Pd4In9,oS48,65",In3,In,Dy8,Co4,Co,4,Dy6,In3,,,,,,,,
1962147.cif,In9Pd4Y11,"Nd11Pd4In9,oS48,65",In3,In,Y8,Pd4,Pd,4,Y6,In3,,,,,,,,
1630078.cif,In9Ni4Y11,"Nd11Pd4In9,oS48,65",In3,In,Y8,Ni4,Ni,4,Y6,In3,,,,,,,,
1942243.cif,In9Nd11Pd4,"Nd11Pd4In9,oS48,65",In3,In,Nd8,Pd4,Pd,4,Nd6,In3,,,,,,,,
1840444.cif,Co4Ho11In9,"Nd11Pd4In9,oS48,65",In3,In,Ho8,Co4,Co,4,Ho6,In3,,,,,,,,
1124270.cif,In9Nd11Pd4,"Nd11Pd4In9,oS48,65",In3,In,Nd8,Pd4,Pd,4,Nd6,In3,,,,,,,,
1630071.cif,In9La11Ni4,"Nd11Pd4In9,oS48,65",In3,In,La8,Ni4,Ni,4,La6,In3,,,,,,,,
1962148.cif,Gd11In9Pd4,"Nd11Pd4In9,oS48,65",In3,In,Gd8,Pd4,Pd,4,Gd6,In3,,,,,,,,
1536411.cif,Co4In9Y11,"Nd11Pd4In9,oS48,65",In3,In,Y8,Co4,Co,4,Y6,In3,,,,,,,,
1432059.cif,Co4Ho11In9,"Nd11Pd4In9,oS48,65",In3,In,Ho8,Co4,Co,4,Ho6,In3,,,,,,,,
1432057.cif,Co4Gd11In9,"Nd11Pd4In9,oS48,65",In3,In,Gd8,Co4,Co,4,Gd6,In3,,,,,,,,
1723881.cif,Dy11In9Ni4,"Nd11Pd4In9,oS48,65",In3,In,Dy8,Ni4,Ni,4,Dy6,In3,,,,,,,,
1840442.cif,Co4In9Tb11,"Nd11Pd4In9,oS48,65",In3,In,Tb8,Co4,Co,4,Tb6,In3,,,,,,,,
1630073.cif,In9Ni4Pr11,"Nd11Pd4In9,oS48,65",In3,In,Pr8,Ni4,Ni,4,Pr6,In3,,,,,,,,
1140837.cif,In9Pd4Tb11,"Nd11Pd4In9,oS48,65",In3,In,Tb8,Pd4,Pd,4,Tb6,In3,,,,,,,,
1141550.cif,Dy11In9Ni4,"Nd11Pd4In9,oS48,65",In3,In,Dy8,Ni4,Ni,4,Dy6,In3,,,,,,,,
