,Structure type,cif,site,tcsp_present,tctp_on_caps,tctp_sites,sp_square_formula,sp_cap_formula,num_tctp_caps,tctp_center_0,tctp_tp_formula_0,tctp_cap_formula_0,tctp_center_1,tctp_tp_formula_1,tctp_cap_formula_1,tctp_center_2,tctp_tp_formula_2,tctp_cap_formula_2
881,"Mg2Co12As7,oP84,62",1707948.cif,Co5,yes,yes,"[['As6', 1], ['As5', 1]]",Co4As2Mg2,As2CoMg,2,As6,Co4Mg2,Co3,As5,Co4Mg2,Co3,,,
654,"HfPdGe,mP18,11",1216717.cif,Pd1,yes,yes,"[['Ge2', 1], ['Ge1', 1]]",Hf4Ge2Pd2,Ge2HfPd,2,Ge2,Hf6,Pd3,Ge1,Pd4Hf2,Hf2Pd,,,
934,"Ca2Au3In4,oP36,62",1702548.cif,In1,yes,yes,"[['Au2', 1], ['Au3', 1]]",Ca4Au2In2,Au2CaIn,2,Au2,Ca4In2,In3,Au3,In4Ca2,In2Ca,,,
846,"Au2YbIn4,mP14,11",1630666.cif,In4,yes,yes,"[['Au2', 1], ['Au1', 1]]",In4Au2Yb2,Au2InYb,2,Au2,In4Yb2,In3,Au1,In4Yb2,In3,,,
530,"Ba5Mg18Si13,hP36,189",1200053.cif,Mg2,yes,yes,"[['SiE4', 2]]",Mg4Ba2Si2,Si2BaMg,2,SiE4,Mg4Ba2,Mg3,,,,,,
882,"Mg2Co12As7,oP84,62",1707948.cif,Co2,yes,yes,"[['As7', 1], ['As3', 1]]",Co4As2Mg2,As2CoMg,2,As7,Co4Mg2,Co3,As3,Co4Mg2,Co3,,,
883,"Mg2Co12As7,oP84,62",1707948.cif,Co10,yes,yes,"[['As1', 1], ['As2', 1]]",Co6As2,As2CoMg,2,As1,Co6,Co3,As2,Co4Mg2,Co3,,,
884,"Mg2Co12As7,oP84,62",1707948.cif,Co9,yes,yes,"[['As4', 1], ['As7', 1]]",Co6As2,As2CoMg,2,As4,Co4Mg2,Co3,As7,Co4Mg2,Co3,,,
885,"Mg2Co12As7,oP84,62",1707948.cif,Co8,yes,yes,"[['As6', 1], ['As2', 1]]",Co4As2Mg2,As2CoMg,2,As6,Co4Mg2,Co3,As2,Co4Mg2,Co3,,,
886,"Mg2Co12As7,oP84,62",1707948.cif,Co1,yes,yes,"[['As3', 1], ['As4', 1]]",Co4As2Mg2,As2Co2,2,As3,Co4Mg2,Co3,As4,Co4Mg2,Co3,,,
887,"Mg2Co12As7,oP84,62",1707948.cif,Co3,yes,yes,"[['As2', 1], ['As5', 1]]",Co4As2Mg2,As2Co2,2,As2,Co4Mg2,Co3,As5,Co4Mg2,Co3,,,
888,"Mg2Co12As7,oP84,62",1707948.cif,Co4,yes,yes,"[['As4', 1], ['As7', 1]]",Co4As2Mg2,As2CoMg,2,As4,Co4Mg2,Co3,As7,Co4Mg2,Co3,,,
936,"Ca2Au3In4,oP36,62",1702548.cif,In3,yes,yes,"[['Au3', 1], ['Au1', 1]]",In4Au2Ca2,Au2Ca2,2,Au3,In4Ca2,In2Ca,Au1,Ca4In2,In3,,,
94,"ThRu2P2,oP20,62",544942.cif,Ru2,yes,yes,"[['P2', 1], ['P1', 1]]",Ru4P2Th2,P2Th2,2,P2,P2Ru2Th2,Ru2Th,P1,Th4Ru2,Ru3,,,
510,"(Li~0.18~Mg~0.82~)~3~Sr~3~Mg~2~Ge~5~,oP52,62",1903768.cif,Mg5A,yes,yes,"[['Ge4', 1], ['Ge2', 1]]",Sr4Ge2Mg2,Ge2MgSr,2,Ge4,Sr4Mg2,Li2Mg,Ge2,Sr6,Ge2Li,,,
92,"Ho5Ni19P12,hP36,189",1611127.cif,Ni3,yes,yes,"[['P1', 2]]",Ni6P2,Ho2P2,2,P1,Ni4Ho2,Ni3,,,,,,
690,"Tm13Ni25As19,hP57,174",1810648.cif,Ni8,yes,yes,"[['As4', 1], ['As6', 1]]",Ni4As2Tm2,As2Tm2,2,As4,Ni4Tm2,Ni3,As6,Tm4Ni2,Ni3,,,
532,"Ba5Mg18Si13,hP36,189",1200053.cif,Mg1,yes,yes,"[['SiE4', 2]]",Mg6Si2,Ba2Si2,2,SiE4,Mg4Ba2,Mg3,,,,,,
624,"Ti2P,hP81,189",1146947.cif,Ti7,yes,yes,"[['P1', 2]]",Ti6P2,P2Ti2,2,P1,Ti6,Ti3,,,,,,
625,"Ti2P,hP81,189",1146947.cif,Ti8,yes,yes,"[['P2', 2]]",Ti6P2,P2Ti2,2,P2,Ti6,Ti3,,,,,,
626,"Ti2P,hP81,189",1146947.cif,Ti9,yes,yes,"[['P1', 2]]",Ti6P2,P2Ti2,2,P1,Ti6,Ti3,,,,,,
271,"Eu3Ga8,oI22,71",1251307.cif,Ga1,yes,yes,"[['Ga3', 2]]",Ga6Eu2,Eu2Ga2,2,Ga3,Eu4Ga2,Ga3,,,,,,
709,"Sm5Pt7Sn9,oS42,38",1431676.cif,Sn2,yes,yes,"[['Pt2', 2]]",Sm6Pt2,Pt2Sn2,2,Pt2,Sm4Sn2,Sn3,,,,,,
362,"La7Pd17P12,mS72,12",1415523.cif,La1,yes,yes,"[['P4', 2]]",P4Pd4,P2Pd2,2,P4,Pd4La2,Pd2La,,,,,,
360,"La7Pd17P12,mS72,12",1415523.cif,Pd6,yes,yes,"[['P4', 1], ['P3', 1]]",Pd4La2P2,La2P2,2,P4,Pd4La2,Pd2La,P3,La4Pd2,Pd3,,,
306,"Ce4Ni7In8,oS76,65",1407158.cif,In7,yes,yes,"[['Ni4', 2]]",In6Ce2,Ce2Ni2,2,Ni4,In4Ce2,CeInNi,,,,,,
677,"Cu4GdMnP3,oP36,62",1641640.cif,Cu2,yes,yes,"[['P2', 1], ['P3', 1]]",Cu4Mn2P2,P2GdMn,2,P2,Cu2Gd2Mn2,Cu3,P3,Cu2Gd2Mn2,Cu3,,,
90,"Ho5Ni19P12,hP36,189",1611127.cif,Ni1,yes,yes,"[['P1', 2]]",Ni4Ho2P2,P2HoNi,2,P1,Ni4Ho2,Ni3,,,,,,
930,"La2Pd3In4,oP36,62",1636765.cif,In1,yes,yes,"[['Pd2', 1], ['Pd3', 1]]",In4La2Pd2,La2Pd2,2,Pd2,La4In2,In3,Pd3,La4In2,In3,,,
931,"La2Pd3In4,oP36,62",1636765.cif,In2,yes,yes,"[['Pd2', 1], ['Pd3', 1]]",In4La2Pd2,La2Pd2,2,Pd2,La4In2,In3,Pd3,La4In2,In3,,,
935,"Ca2Au3In4,oP36,62",1702548.cif,In4,yes,yes,"[['Au2', 1], ['Au1', 1]]",In4Au2Ca2,Au2Ca2,2,Au2,Ca4In2,In3,Au1,Ca4In2,In3,,,
686,"Tm13Ni25As19,hP57,174",1810648.cif,Ni3,yes,yes,"[['As3', 1], ['As2', 1]]",Ni4As2Tm2,As2Tm2,2,As3,Tm4Ni2,Ni3,As2,Ni3Tm3,Ni3,,,
685,"Tm13Ni25As19,hP57,174",1810648.cif,Ni2,yes,yes,"[['As1', 1], ['As2', 1]]",Ni5As2Tm,As2Tm2,2,As1,Ni3Tm3,Ni3,As2,Ni3Tm3,Ni3,,,
906,"Mg8Cu5Y5,oP36,51",1629332.cif,Mg2,yes,yes,"[['Cu1', 1], ['Cu2', 1]]",Mg4Y4,Cu2Mg2,2,Cu1,Y4Mg2,Mg3,Cu2,Y6,Mg3,,,
166,"YCo5P3,oP36,62",1612283.cif,Co2,yes,yes,"[['P2', 1], ['P3', 1]]",Co4P2Y2,P2CoY,2,P2,Co4Y2,Co3,P3,Co4Y2,Co3,,,
687,"Tm13Ni25As19,hP57,174",1810648.cif,Ni4,yes,yes,"[['As3', 1], ['As2', 1]]",Ni3Tm3As2,As2NiTm,2,As3,Tm4Ni2,Ni3,As2,Ni3Tm3,Ni3,,,
202,"Mg5Si6,mS22,8",1123564.cif,Si4,yes,yes,"[['Si5', 1], ['Si6', 1]]",Mg4Si4,Mg2Si2,2,Si5,Mg4Si2,Mg2Si,Si6,Mg6,Si2Mg,,,
238,"PrNiIn2,oS80,63",1000824.cif,In5,yes,yes,"[['Ni2', 2]]",In6Pr2,Ni2Pr2,2,Ni2,Pr4In2,In3,,,,,,
103,"CeFe2Al8,oP44,55",1615334.cif,Al1,yes,yes,"[['Fe2', 2]]",Al8,Ce2Fe2,2,Fe2,Al6,Al3,,,,,,
114,"Zr6Ni20P13,hP39,174",461916.cif,NiI,yes,yes,"[['PI', 1], ['PIII', 1]]",Ni4P2Zr2,P2NiZr,2,PI,Zr4Ni2,Ni3,PIII,Ni4Zr2,Ni3,,,
115,"Zr6Ni20P13,hP39,174",461916.cif,NiIII,yes,yes,"[['PI', 1], ['PIII', 1]]",Ni4P2Zr2,P2Zr2,2,PI,Zr4Ni2,Ni3,PIII,Ni4Zr2,Ni3,,,
167,"YCo5P3,oP36,62",1612283.cif,Co5,yes,yes,"[['P2', 1], ['P1', 1]]",Co6P2,P2CoY,2,P2,Co4Y2,Co3,P1,Co4Y2,Co3,,,
142,"GdSn2.75,oS16,38",1250990.cif,Sn1,yes,yes,"[['Gd2', 2]]",Sn6Gd2,Gd2Sn2,2,Gd2,Sn6,Sn3,,,,,,
151,"Y2Al3Si2,mS14,12",1406368.cif,Al2,yes,yes,"[['Si', 2]]",Al4Y4,Al2Si2,2,Si,Y4Al2,AlSiY,,,,,,
137,"NbCoB,oP30,59",1606324.cif,Co2,yes,yes,"[['B2', 1], ['B1', 1]]",Nb6B2,B2Co2,2,B2,Nb6,Co3,B1,Nb4Co2,Co2Nb,,,
126,"Ce2Pt7Ge4,oP52,62",1233570.cif,Pt4,yes,yes,"[['Ge4', 1], ['Ge3', 1]]",Ce4Ge2Pt2,Ge2CePt,2,Ge4,Pt4Ce2,Pt3,Ge3,Ce4Pt2,Pt3,,,
909,"Mg8Cu5Y5,oP36,51",1629332.cif,Mg5,yes,yes,"[['Cu1', 2]]",Mg4Y4,Cu2Mg2,2,Cu1,Y4Mg2,Mg3,,,,,,
896,"Sc4Pt7Si2,oP26,55",1931034.cif,Pt4,yes,yes,"[['Si', 2]]",Sc6Pt2,Pt2Si2,2,Si,Sc4Pt2,Pt3,,,,,,
904,"Sr4Au9In13,hP26,187",1123874.cif,In1,yes,yes,"[['Au1', 2]]",In4Au2Sr2,Au2Sr2,2,Au1,In4Sr2,In3,,,,,,
684,"Tm13Ni25As19,hP57,174",1810648.cif,Ni1,yes,yes,"[['As1', 2]]",Ni4As2Tm2,As2NiTm,2,As1,Ni3Tm3,Ni3,,,,,,
664,"Ti9Se2,oP22,55",1250432.cif,Ti4,yes,yes,"[['Se', 2]]",Ti8,Se2Ti2,2,Se,Ti6,Ti3,,,,,,
351,"Eu3Co2In15,tP40,127",1125020.cif,In1,yes,yes,"[['Co1', 2]]",In8,Co2Eu2,2,Co1,In6,In3,,,,,,
707,"Sm5Pt7Sn9,oS42,38",1431676.cif,Sn1,yes,yes,"[['Pt3', 1], ['Pt2', 1]]",Sm4Pt2Sn2,Pt2Sn2,2,Pt3,Sn4Sm2,Sn2Sm,Pt2,Sm4Sn2,Sn3,,,
656,"HfPdGe,mP18,11",1216717.cif,Pd3,yes,yes,"[['Ge2', 1], ['Ge3', 1]]",Hf6Ge2,Ge2HfPd,2,Ge2,Hf6,Pd3,Ge3,Hf4Pd2,Pd2Hf,,,
655,"HfPdGe,mP18,11",1216717.cif,Pd2,yes,yes,"[['Ge2', 1], ['Ge3', 1]]",Hf4Ge2Pd2,Ge2Hf2,2,Ge2,Hf6,Pd3,Ge3,Hf4Pd2,Pd2Hf,,,
1004,"CeTe3,oS16,40",1215984.cif,Te3,yes,yes,"[['Ce1', 2]]",Te8,Ce2Te2,2,Ce1,Te6,Te3,,,,,,
869,"V18P9C2,oP58,51",1644069.cif,V3,yes,yes,"[['P1', 2]]",V6P2,P2V2,2,P1,V6,V3,,,,,,
872,"V18P9C2,oP58,51",1644069.cif,V2,yes,yes,"[['P1', 2]]",V8,P4,2,P1,V6,V3,,,,,,
927,"Yb5Fe4Al17Si6,tP32,123",1636744.cif,Si2,yes,yes,"[['Fe1', 2]]",Al8,Fe2Yb2,2,Fe1,Al4Si2,Al2Si,,,,,,
937,"Ca2Au3In4,oP36,62",1702548.cif,In2,yes,yes,"[['Au1', 1], ['Au2', 1]]",Ca4Au2In2,Au2CaIn,2,Au1,Ca4In2,In3,Au2,Ca4In2,In3,,,
940,"Ag2PrSi2,oI10,71",1229885.cif,Ag,yes,yes,"[['Si', 2]]",Ag4Pr2Si2,Pr2Si2,2,Si,Pr4Ag2,Ag2Si,,,,,,
910,"SrMgSi2,oP32,62",1708276.cif,Mg1,yes,yes,"[['Si2', 1], ['Si4', 1]]",Mg4Si2Sr2,Si2Sr2,2,Si2,Sr4Mg2,Si2Mg,Si4,Sr4Mg2,Mg2Si,,,
179,"LaNiAl,oP24,62",1651340.cif,Al1,yes,yes,"[['Ni1', 1], ['Ni2', 1]]",La4Al2Ni2,Ni2AlLa,2,Ni1,Al4La2,La2Al,Ni2,La6,Al3,,,
376,"KCuCeTe4,oP14,59",1413933.cif,Te3,yes,yes,"[['Ce1', 2]]",Te6K2,Ce2Te2,2,Ce1,Te6,Te3,,,,,,
761,"Ce3Pt4Al6,oP52,62",1627178.cif,Al4,yes,yes,"[['Pt2', 1], ['Al3', 1]]",Ce4Al2Pt2,Al2CePt,2,Pt2,Ce4Al2,Al3,Al3,Ce6,Pt2Al,,,
774,"Ce3Rh4Ge4,oP44,62",1535394.cif,Rh4,yes,yes,"[['Ge3', 1], ['Ge1', 1]]",Rh4Ce2Ge2,Ce2Ge2,2,Ge3,Ce4Rh2,Rh3,Ge1,Ce4Rh2,Rh3,,,
386,"Ba6Mg17Eu3Si13,hP39,174",1150374.cif,Mg3,yes,yes,"[['Si4', 1], ['Si3', 1]]",Ba2Eu2Mg2Si2,Si2BaMg,2,Si4,Ba4Mg2,Mg3,Si3,Ba2Eu2Mg2,Mg3,,,
291,"Zr5Pd9P7,oS42,38",1703563.cif,Pd1,yes,yes,"[['P3', 1], ['P4', 1]]",Zr4P2Pd2,P2Pd2,2,P3,Zr4Pd2,Pd3,P4,Pd4Zr2,Pd2Zr,,,
599,"Y5Fe2Te2,oS36,63",1121682.cif,Y3,yes,yes,"[['Fe1', 1], ['Fe2', 1]]",Y8,Fe2Te2,2,Fe1,Y4Fe2,Y3,Fe2,Y4Fe2,Y3,,,
292,"Zr5Pd9P7,oS42,38",1703563.cif,Pd3,yes,yes,"[['P2', 2]]",Zr4P2Pd2,P2PdZr,2,P2,Zr4Pd2,Pd3,,,,,,
1054,"CaCu2Sn2,mS10,12",1623234.cif,Sn,yes,yes,"[['Cu', 2]]",Ca4Cu2Sn2,Cu2CaSn,2,Cu,Ca2Cu2Sn2,Sn2Ca,,,,,,
35,"PrTe2Se,oS16,63",1321995.cif,Te2,yes,yes,"[['Pr', 2]]",Te6Se2,Pr2Te2,2,Pr,Se4Te2,Te2Se,,,,,,
513,"(Li~0.18~Mg~0.82~)~3~Sr~3~Mg~2~Ge~5~,oP52,62",1903768.cif,Mg4A,yes,yes,"[['Ge3', 1], ['Ge4', 1]]",Sr4Ge2Li2,Ge2LiSr,2,Ge3,Sr4Li2,Li2Ge,Ge4,Sr4Mg2,Li2Mg,,,
426,"Zr2P,oS108,65",1251259.cif,Zr13,yes,yes,"[['P4', 2]]",Zr8,P4,2,P4,Zr6,Zr3,,,,,,
425,"Zr2P,oS108,65",1251259.cif,Zr6,yes,yes,"[['P2', 2]]",Zr8,P4,2,P2,Zr6,Zr3,,,,,,
423,"Zr2P,oS108,65",1251259.cif,Zr12,yes,yes,"[['P4', 2]]",Zr6P2,P2Zr2,2,P4,Zr6,Zr3,,,,,,
416,"La3Ni12P7,oS88,36",1803976.cif,Ni10,yes,yes,"[['P5', 1], ['P3', 1]]",La4Ni2P2,P2LaNi,2,P5,Ni4La2,Ni3,P3,La4Ni2,Ni3,,,
293,"Zr5Pd9P7,oS42,38",1703563.cif,Pd4,yes,yes,"[['P3', 2]]",Zr6P2,P2Pd2,2,P3,Zr4Pd2,Pd3,,,,,,
932,"La2Pd3In4,oP36,62",1636765.cif,In3,yes,yes,"[['Pd1', 1], ['Pd2', 1]]",La4In2Pd2,Pd2InLa,2,Pd1,In4La2,In2La,Pd2,La4In2,In3,,,
773,"Ce3Rh4Ge4,oP44,62",1535394.cif,Rh2,yes,yes,"[['Ge1', 1], ['Ge3', 1]]",Rh4Ce2Ge2,Ce2Ge2,2,Ge1,Ce4Rh2,Rh3,Ge3,Ce4Rh2,Rh3,,,
771,"LiCa2Sn3,oP18,25",1536983.cif,Sn6,yes,yes,"[['Sn1', 2]]",Ca6Sn2,Li2Sn2,2,Sn1,Ca6,Sn2Li,,,,,,
770,"LiCa2Sn3,oP18,25",1536983.cif,Sn5,yes,yes,"[['Sn2', 2]]",Ca6Li2,Sn4,2,Sn2,Ca6,Sn2Li,,,,,,
769,"LiCa2Sn3,oP18,25",1536983.cif,Sn3,yes,yes,"[['Sn2', 1], ['Sn1', 1]]",Ca6Li2,Sn4,2,Sn2,Ca6,Sn2Li,Sn1,Ca6,Sn2Li,,,
768,"LiCa2Sn3,oP18,25",1536983.cif,Li1,yes,yes,"[['Sn2', 1], ['Sn1', 1]]",Ca6Sn2,Sn3Li,2,Sn2,Ca6,Sn2Li,Sn1,Ca6,Sn2Li,,,
385,"Ba6Mg17Eu3Si13,hP39,174",1150374.cif,Mg6,yes,yes,"[['Si5', 1], ['Si3', 1]]",Eu4Mg2Si2,Si2BaMg,2,Si5,Eu6,Mg3,Si3,Ba2Eu2Mg2,Mg3,,,
384,"Ba6Mg17Eu3Si13,hP39,174",1150374.cif,Mg2,yes,yes,"[['Si4', 1], ['Si3', 1]]",Mg4Ba2Si2,Ba2Si2,2,Si4,Ba4Mg2,Mg3,Si3,Ba2Eu2Mg2,Mg3,,,
946,"CaFe5As3,mP18,11",1640939.cif,Fe2,yes,yes,"[['As1', 1], ['As2', 1]]",Fe6As2,As2CaFe,2,As1,Fe4Ca2,Fe3,As2,Fe4Ca2,Fe3,,,
428,"Pr3Rh4Ge4,mS44,12",1724107.cif,Rh4,yes,yes,"[['Ge3', 1], ['Ge1', 1]]",Rh4Ge2Pr2,Ge2Pr2,2,Ge3,Pr4Rh2,Rh3,Ge1,Pr4Rh2,Rh3,,,
472,"BaCeSn2S6,oP40,26",1638612.cif,S1,yes,yes,"[['Ba1', 2]]",S6Sn2,Ba2CeS,2,Ba1,S6,S3,,,,,,
511,"(Li~0.18~Mg~0.82~)~3~Sr~3~Mg~2~Ge~5~,oP52,62",1903768.cif,Li5B,yes,yes,"[['Ge4', 1], ['Ge2', 1]]",Sr4Ge2Mg2,Ge2LiSr,2,Ge4,Sr4Mg2,Li2Mg,Ge2,Sr6,Ge2Li,,,
669,"CuLa2InSe5,oP36,62",1216226.cif,Se1,yes,yes,"[['La1', 2]]",Se6In2,La3Se,2,La1,Se6,Se2Cu,,,,,,
509,"(Li~0.18~Mg~0.82~)~3~Sr~3~Mg~2~Ge~5~,oP52,62",1903768.cif,Mg2,yes,yes,"[['Ge4', 1], ['Ge1', 1]]",Mg4Ge2Sr2,Ge2Sr2,2,Ge4,Sr4Mg2,Li2Mg,Ge1,Sr4Mg2,Mg2Ge,,,
473,"EuBiTe3,oP10,59",1608793.cif,Te3,yes,yes,"[['Eu1', 2]]",Te6Eu2,Eu2Te2,2,Eu1,Te6,Te3,,,,,,
570,"Tb15Ni28P21,hP128,176",1803040.cif,Ni2,yes,yes,"[['P7', 2]]",Ni6P2,P2NiTb,2,P7,Ni4Tb2,Ni3,,,,,,
676,"Cu4GdMnP3,oP36,62",1641640.cif,Cu1,yes,yes,"[['P2', 1], ['P1', 1]]",Cu2Gd2Mn2P2,P2CuGd,2,P2,Cu2Gd2Mn2,Cu3,P1,Cu4Gd2,Cu2Mn,,,
933,"La2Pd3In4,oP36,62",1636765.cif,In4,yes,yes,"[['Pd1', 1], ['Pd3', 1]]",La4In2Pd2,Pd2InLa,2,Pd1,In4La2,In2La,Pd3,La4In2,In3,,,
505,"GdNiIn2,oS112,63",1121912.cif,In6,yes,yes,"[['Ni3', 2]]",In6Gd2,Gd2Ni2,2,Ni3,Gd4In2,In3,,,,,,
623,"Ti2P,hP81,189",1146947.cif,Ti3,yes,yes,"[['P2', 1], ['P3', 1]]",Ti6P2,P2Ti2,2,P2,Ti6,Ti3,P3,Ti6,Ti3,,,
621,"Ti2P,hP81,189",1146947.cif,Ti1,yes,yes,"[['P3', 1], ['P1', 1]]",Ti6P2,P2Ti2,2,P3,Ti6,Ti3,P1,Ti6,Ti3,,,
739,"Co2As,hP36,189",532372.cif,Co3,yes,yes,"[['As1', 2]]",Co6As2,As2Co2,2,As1,Co6,Co3,,,,,,
740,"Co2As,hP36,189",532372.cif,Co4,yes,yes,"[['As1', 2]]",Co6As2,As2Co2,2,As1,Co6,Co3,,,,,,
354,"La7Pd17P12,mS72,12",1415523.cif,Pd7,yes,yes,"[['P6', 1], ['P4', 1]]",Pd4La2P2,P2LaPd,2,P6,La4Pd2,Pd3,P4,Pd4La2,Pd2La,,,
991,"Pr5Ni6In11,oS44,65",1803261.cif,In2,yes,yes,"[['Ni1', 2]]",In6Pr2,Ni2Pr2,2,Ni1,In4Pr2,InNiPr,,,,,,
615,"SrIrIn6,oP16,51",1050280.cif,In4,yes,yes,"[['Ir1', 2]]",In8,Ir2Sr2,2,Ir1,In6,In3,,,,,,
708,"Sm5Pt7Sn9,oS42,38",1431676.cif,Sn3,yes,yes,"[['Pt2', 1], ['Pt3', 1]]",Sn4Pt2Sm2,Pt2Sm2,2,Pt2,Sm4Sn2,Sn3,Pt3,Sn4Sm2,Sn2Sm,,,
529,"Lu2Pt3Al4,oP36,62",1147472.cif,Al4,yes,yes,"[['Pt1', 1], ['Pt2', 1]]",Lu4Al2Pt2,Pt2AlLu,2,Pt1,Lu4Al2,Al3,Pt2,Lu4Al2,Al3,,,
528,"Lu2Pt3Al4,oP36,62",1147472.cif,Al3,yes,yes,"[['Pt3', 1], ['Pt2', 1]]",Al4Lu2Pt2,Lu2Pt2,2,Pt3,Al4Lu2,Al2Lu,Pt2,Lu4Al2,Al3,,,
526,"Lu2Pt3Al4,oP36,62",1147472.cif,Al2,yes,yes,"[['Pt1', 1], ['Pt2', 1]]",Al4Lu2Pt2,Lu2Pt2,2,Pt1,Lu4Al2,Al3,Pt2,Lu4Al2,Al3,,,
525,"Lu2Pt3Al4,oP36,62",1147472.cif,Al1,yes,yes,"[['Pt3', 1], ['Pt1', 1]]",Lu4Al2Pt2,Pt2AlLu,2,Pt3,Al4Lu2,Al2Lu,Pt1,Lu4Al2,Al3,,,
1048,"Ag2Se,oP12,62",1235756.cif,Ag1,yes,yes,"[['Se', 2]]",Ag6Se2,Ag2Se2,2,Se,Ag6,Ag3,,,,,,
429,"Pr3Rh4Ge4,mS44,12",1724107.cif,Rh2,yes,yes,"[['Ge1', 1], ['Ge3', 1]]",Rh4Ge2Pr2,Ge2Pr2,2,Ge1,Pr4Rh2,Rh3,Ge3,Pr4Rh2,Rh3,,,
1052,"MgCuAs,oP24,62",1708361.cif,Cu2,yes,yes,"[['As1', 1], ['As2', 1]]",Mg4As2Cu2,As2Mg2,2,As1,Mg4Cu2,Cu2Mg,As2,Mg4Cu2,Cu2Mg,,,
295,"La11Ru2Al6,oP38,55",1631451.cif,La4,yes,yes,"[['Al2', 1], ['Al3', 1]]",La6Al2,Al2LaRu,2,Al2,La6,La3,Al3,La6,La2Ru,,,
591,"Mg16Cu5Y5,oS104,63",1629334.cif,Mg8,yes,yes,"[['Cu1', 2]]",Mg6Y2,Cu2Y2,2,Cu1,Y4Mg2,Mg3,,,,,,
391,"NbRuB,oP18,51",1945257.cif,Ru2,yes,yes,"[['B1', 2]]",Nb6B2,B2Ru2,2,B1,Nb6,Ru2B,,,,,,
579,"Ce5Co4Ge13,oS44,65",1144296.cif,Ge5,yes,yes,"[['Ge4', 2]]",Ge4Ce2Co2,Ce2Ge2,2,Ge4,Ce4Ge2,Ge2Co,,,,,,
804,"SmPd2In4,oP112,62",1631486.cif,In13,yes,yes,"[['Pd6', 1], ['Pd7', 1]]",In6Sm2,Pd2Sm2,2,Pd6,In4Sm2,In3,Pd7,In4Sm2,In3,,,
583,"Li5Ca7Sn11,oS92,63",1121838.cif,Li2,yes,yes,"[['Sn6', 1], ['Sn4', 1]]",Ca4Li2Sn2,Sn2CaLi,2,Sn6,Ca6,Sn2Li,Sn4,Li4Ca2,CaLiSn,,,
345,"Tb6Pt12In23,mS82,12",1711843.cif,In11,yes,yes,"[['Pt6', 1], ['Pt3', 1]]",In4Pt2Tb2,Pt2InTb,2,Pt6,In4Tb2,In3,Pt3,In4Tb2,In3,,,
381,"YNiAl3,oP20,62",1406353.cif,Al3,yes,yes,"[['Ni', 2]]",Al6Y2,Ni2Y2,2,Ni,Al4Y2,Al3,,,,,,
622,"Ti2P,hP81,189",1146947.cif,Ti2,yes,yes,"[['P3', 1], ['P2', 1]]",Ti6P2,P2Ti2,2,P3,Ti6,Ti3,P2,Ti6,Ti3,,,
678,"Cu4GdMnP3,oP36,62",1641640.cif,Cu3,yes,yes,"[['P1', 1], ['P3', 1]]",Cu4Gd2P2,P2GdMn,2,P1,Cu4Gd2,Cu2Mn,P3,Cu2Gd2Mn2,Cu3,,,
738,"Co2As,hP36,189",532372.cif,Co2,yes,yes,"[['As3', 1], ['As2', 1]]",Co6As2,As2Co2,2,As3,Co6,Co3,As2,Co6,Co3,,,
945,"CaFe5As3,mP18,11",1640939.cif,Fe4,yes,yes,"[['As1', 1], ['As3', 1]]",Fe4As2Ca2,As2CaFe,2,As1,Fe4Ca2,Fe3,As3,Fe4Ca2,Fe3,,,
947,"CaFe5As3,mP18,11",1640939.cif,Fe5,yes,yes,"[['As2', 1], ['As3', 1]]",Fe4As2Ca2,As2CaFe,2,As2,Fe4Ca2,Fe3,As3,Fe4Ca2,Fe3,,,
948,"CaFe5As3,mP18,11",1640939.cif,Fe1,yes,yes,"[['As1', 1], ['As2', 1]]",Fe4As2Ca2,As2CaFe,2,As1,Fe4Ca2,Fe3,As2,Fe4Ca2,Fe3,,,
1050,"MgCuAs,oP24,62",1708361.cif,Cu1,yes,yes,"[['As2', 1], ['As1', 1]]",Cu4As2Mg2,As2Mg2,2,As2,Mg4Cu2,Cu2Mg,As1,Mg4Cu2,Cu2Mg,,,
723,"Ce3Rh4Sn7,mP28,11",1650230.cif,Sn2,yes,yes,"[['Rh1', 1]]",Ce4Rh2Sn2,Rh2CeSn,1,Rh1,Sn4Ce2,Sn2Ce,,,,,,
489,"Ca28Ga11,oI78,44",1240886.cif,Ca4,yes,yes,"[['Ga2', 1]]",Ca6Ga2,Ca2Ga2,1,Ga2,Ca6,Ca3,,,,,,
667,"Gd5Co2Al2,oP18,55",1128767.cif,Gd3,yes,yes,"[['Co1', 1]]",Al4Gd4,Gd3Co,1,Co1,Gd4Al2,Gd2Co,,,,,,
688,"Tm13Ni25As19,hP57,174",1810648.cif,Ni6,yes,yes,"[['As4', 1]]",Ni4As2Tm2,As2Tm2,1,As4,Ni4Tm2,Ni3,,,,,,
671,"Eu10Ni21As15.5,hP92,176",1928382.cif,Ni5,yes,yes,"[['As3', 1]]",Ni4As2Eu2,As2EuNi,1,As3,Ni4Eu2,Ni3,,,,,,
857,"U10Co51Si33,hP188,176",1000449.cif,Co10,yes,yes,"[['Si10', 1]]",Co4Si2U2,Si2CoU,1,Si10,Co4U2,Co3,,,,,,
856,"U10Co51Si33,hP188,176",1000449.cif,Co8,yes,yes,"[['Si10', 1]]",Co4Si2U2,Si2CoU,1,Si10,Co4U2,Co3,,,,,,
