,Structure type,cif,site,tcsp_present,tctp_on_caps,tctp_sites,sp_square_formula,sp_cap_formula,num_tctp_caps,tctp_center_0,tctp_tp_formula_0,tctp_cap_formula_0,tctp_center_1,tctp_tp_formula_1,tctp_cap_formula_1,tctp_center_2,tctp_tp_formula_2,tctp_cap_formula_2
23,"Ho4Ni2InGe4,mS22,12",1211963.cif,In,yes,yes,"[['Ge2', 2]]",Ho8,Ge4,2,Ge2,Ho6,GeInNi,,,,,,
2,"TiNiSi,oP12,62",1535998.cif,Ni,yes,yes,"[['Si', 2]]",Ti4Ni2Si2,Si2Ti2,2,Si,Ti4Ni2,Ni2Ti,,,,,,
20,"Zr2Fe12P7,hP21,174",303264.cif,Fe1,yes,yes,"[['P1', 2]]",Fe4P2Zr2,P2FeZr,2,P1,Fe4Zr2,Fe3,,,,,,
221,"Cu4Tm3Sn4,mS22,12",1903061.cif,Cu2,yes,yes,"[['Sn2', 1], ['Sn1', 1]]",Tm4Cu2Sn2,Sn2CuTm,2,Sn2,Tm6,Cu2Sn,Sn1,Cu4Tm2,Cu2Tm,,,
893,"Ca6Cu2Sn7,mS30,12",1420141.cif,Sn4,yes,yes,"[['Cu1', 2]]",Ca4Sn4,Ca2Cu2,2,Cu1,Ca4Sn2,Sn3,,,,,,
37,"Mn3As,oS16,63",1057668.cif,Mn2,yes,yes,"[['As1', 2]]",Mn8,As2Mn2,2,As1,Mn6,Mn3,,,,,,
50,"LiCa2InGe2,oP24,62",1110772.cif,Li1,yes,yes,"[['Ge2', 1], ['Ge1', 1]]",Ca4Ge2Li2,Ge2CaIn,2,Ge2,Ca2In2Li2,Ca2Li,Ge1,Ca6,In2Li,,,
58,"Nd2Ni7P4,oP26,31",1615302.cif,Ni7,yes,yes,"[['P3', 1], ['P4', 1]]",Nd4Ni2P2,P2NdNi,2,P3,Ni4Nd2,Ni3,P4,Nd4Ni2,Ni3,,,
59,"K2SrCdSb2,oP12,26",1603965.cif,Cd1,yes,yes,"[['Sb1', 2]]",Sr4K2Sb2,K2Sb2,2,Sb1,Sr4K2,Cd2K,,,,,,
603,"ErNi3Ge2,hP72,174",1406536.cif,Ni9,yes,yes,"[['Ge3', 2]]",Ni4Er2Ge2,Ge2ErNi,2,Ge3,Ni4Er2,Ni2Er,,,,,,
290,"Zr5Pd9P7,oS42,38",1703563.cif,Pd2,yes,yes,"[['P3', 1], ['P4', 1]]",Pd4P2Zr2,P2Zr2,2,P3,Zr4Pd2,Pd3,P4,Pd4Zr2,Pd2Zr,,,
590,"Mg16Cu5Y5,oS104,63",1629334.cif,Mg7,yes,yes,"[['Cu2', 1], ['Cu1', 1]]",Y6Cu2,Cu2Mg2,2,Cu2,Y4Mg2,Mg3,Cu1,Y4Mg2,Mg3,,,
1047,"Ag2Se,oP12,62",1235756.cif,Ag2,yes,yes,"[['Se', 2]]",Ag4Se4,Ag2Se2,2,Se,Ag6,Ag3,,,,,,
430,"La4Co3Al3,oS20,38",1651336.cif,La1,yes,yes,"[['Co1', 2]]",Al6Co2,Co2La2,2,Co1,Al4La2,La2Co,,,,,,
889,"Mg2Co12As7,oP84,62",1707948.cif,Co7,yes,yes,"[['As3', 1], ['As5', 1]]",Co6As2,As2CoMg,2,As3,Co4Mg2,Co3,As5,Co4Mg2,Co3,,,
206,"Yb6Co30P19,hP55,174",1407131.cif,Co5,yes,yes,"[['P3', 1], ['P5', 1]]",Co4P2Yb2,P2CoYb,2,P3,Co4Yb2,Co3,P5,Co4Yb2,Co3,,,
207,"Yb6Co30P19,hP55,174",1407131.cif,Co9,yes,yes,"[['P7', 1], ['P3', 1]]",Co6P2,P2CoYb,2,P7,Co6,Co3,P3,Co4Yb2,Co3,,,
19,"Zr2Fe12P7,hP21,174",303264.cif,Fe2,yes,yes,"[['P3', 1], ['P1', 1]]",Fe6P2,P2FeZr,2,P3,Fe6,Fe3,P1,Fe4Zr2,Fe3,,,
18,"Zr2Fe12P7,hP21,174",303264.cif,Fe3,yes,yes,"[['P2', 2]]",Fe4P2Zr2,P2FeZr,2,P2,Fe4Zr2,Fe3,,,,,,
